date,Mkt-RF,SMB,HML,RF
2007-01-03,-0.04,0.08,-0.11,0.022
2007-01-04,0.16,0.25,-0.65,0.022
2007-01-05,-0.73,-0.92,-0.32,0.022
2007-01-08,0.24,-0.06,0.04,0.022
2007-01-09,0,0.27,-0.15,0.022
2007-01-10,0.23,-0.07,-0.25,0.022
2007-01-11,0.74,0.56,-0.3,0.022
2007-01-12,0.5,0.18,-0.14,0.022
2007-01-16,0,-0.26,0.04,0.022
2007-01-17,-0.14,-0.22,0.07,0.022
2007-01-18,-0.48,-1.06,0.6,0.022
2007-01-19,0.33,0.42,0.17,0.022
2007-01-22,-0.55,-0.48,0.38,0.022
2007-01-23,0.37,0.56,0.2,0.022
2007-01-24,0.84,0.23,-0.13,0.022
2007-01-25,-1.15,-0.08,-0.14,0.022
2007-01-26,-0.06,0.56,0.12,0.022
2007-01-29,0.02,0.58,0.23,0.022
2007-01-30,0.52,-0.02,0.28,0.022
2007-01-31,0.64,-0.39,0.02,0.022
2007-02-01,0.59,0.33,-0.19,0.02
2007-02-02,0.15,0.11,0.22,0.02
2007-02-05,-0.12,-0.22,0.23,0.02
2007-02-06,0.1,0.29,0.19,0.02
2007-02-07,0.21,0.42,-0.06,0.02
2007-02-08,-0.1,0.21,-0.14,0.02
2007-02-09,-0.76,-0.34,0.21,0.02
2007-02-12,-0.35,0.22,0.11,0.02
2007-02-13,0.72,-0.14,0.36,0.02
2007-02-14,0.73,-0.49,-0.19,0.02
2007-02-15,0.11,0.17,-0.44,0.02
2007-02-16,0,0.27,0.06,0.02
2007-02-20,0.42,0.66,-0.23,0.02
2007-02-21,-0.09,0.29,-0.15,0.02
2007-02-22,-0.06,0.36,-0.11,0.02
2007-02-23,-0.31,0.11,-0.14,0.02
2007-02-26,-0.19,-0.17,0.25,0.02
2007-02-27,-3.43,-0.17,-0.04,0.02
2007-02-28,0.47,-0.51,0.29,0.02
2007-03-01,-0.25,-0.1,0.15,0.019
2007-03-02,-1.24,-0.62,0.11,0.019
2007-03-05,-1.11,-0.73,-0.18,0.019
2007-03-06,1.58,0.68,-0.04,0.019
2007-03-07,-0.21,-0.09,0.08,0.019
2007-03-08,0.68,-0.08,0.09,0.019
2007-03-09,0.09,0.3,0.15,0.019
2007-03-12,0.28,0.24,-0.06,0.019
2007-03-13,-2.03,-0.31,0.04,0.019
2007-03-14,0.57,0.11,-0.06,0.019
2007-03-15,0.44,0.51,0.08,0.019
2007-03-16,-0.42,-0.12,-0.21,0.019
2007-03-19,1.08,-0.11,0.04,0.019
2007-03-20,0.67,0.02,0.15,0.019
2007-03-21,1.64,-0.12,-0.16,0.019
2007-03-22,-0.02,0.13,-0.19,0.019
2007-03-23,0.08,0.06,0.15,0.019
2007-03-26,0.06,-0.08,-0.05,0.019
2007-03-27,-0.61,-0.22,0.05,0.019
2007-03-28,-0.74,0.21,0.07,0.019
2007-03-29,0.29,-0.18,0.22,0.019
2007-03-30,-0.07,0.27,-0.08,0.019
2007-04-02,0.22,0.03,0.09,0.022
2007-04-03,0.93,0.07,-0.19,0.022
2007-04-04,0.09,-0.18,-0.23,0.022
2007-04-05,0.31,0,-0.04,0.022
2007-04-09,0.05,-0.25,0.2,0.022
2007-04-10,0.22,0.08,0.09,0.022
2007-04-11,-0.64,-0.09,0.11,0.022
2007-04-12,0.61,0.23,-0.13,0.022
2007-04-13,0.34,0.24,-0.12,0.022
2007-04-16,1.06,0.34,-0.06,0.022
2007-04-17,0.09,-0.42,-0.08,0.022
2007-04-18,0,-0.67,0.34,0.022
2007-04-19,-0.23,-0.36,-0.07,0.022
2007-04-20,0.89,0.18,0.09,0.022
2007-04-23,-0.24,0.05,-0.16,0.022
2007-04-24,-0.1,-0.05,-0.23,0.022
2007-04-25,0.91,-0.31,0.25,0.022
2007-04-26,-0.02,0.33,-0.37,0.022
2007-04-27,-0.13,-0.29,-0.42,0.022
2007-04-30,-0.93,-0.9,-0.01,0.022
2007-05-01,0.22,-0.09,0.05,0.018
2007-05-02,0.79,0.62,-0.08,0.018
2007-05-03,0.37,-0.34,0.31,0.018
2007-05-04,0.25,0.18,-0.04,0.018
2007-05-07,0.18,-0.35,0.35,0.018
2007-05-08,-0.13,-0.04,-0.05,0.018
2007-05-09,0.35,0.09,-0.09,0.018
2007-05-10,-1.42,-0.48,0.25,0.018
2007-05-11,0.95,0.16,0.13,0.018
2007-05-14,-0.28,-0.65,0.17,0.018
2007-05-15,-0.27,-0.82,0.34,0.018
2007-05-16,0.82,-0.2,0.03,0.018
2007-05-17,-0.1,-0.35,0.03,0.018
2007-05-18,0.66,0.37,-0.42,0.018
2007-05-21,0.31,0.91,-0.29,0.018
2007-05-22,0.08,0.71,-0.16,0.018
2007-05-23,-0.18,-0.21,-0.21,0.018
2007-05-24,-1.07,-0.39,-0.15,0.018
2007-05-25,0.55,0.22,-0.04,0.018
2007-05-29,0.24,0.6,-0.04,0.018
2007-05-30,0.77,-0.26,0.09,0.018
2007-05-31,0.13,0.33,-0.34,0.018
2007-06-01,0.44,0.38,-0.02,0.019
2007-06-04,0.18,0.05,0.04,0.019
2007-06-05,-0.55,-0.11,-0.23,0.019
2007-06-06,-0.92,0.08,0.03,0.019
2007-06-07,-1.75,-0.01,-0.11,0.019
2007-06-08,1.07,-0.05,0.01,0.019
2007-06-11,0.08,-0.28,0.12,0.019
2007-06-12,-1.06,-0.15,-0.2,0.019
2007-06-13,1.37,-0.21,-0.07,0.019
2007-06-14,0.5,0.08,0.03,0.019
2007-06-15,0.69,0.49,0.04,0.019
2007-06-18,-0.13,0.02,-0.11,0.019
2007-06-19,0.14,0.01,0.14,0.019
2007-06-20,-1.29,0.11,-0.31,0.019
2007-06-21,0.56,-0.18,0.04,0.019
2007-06-22,-1.25,0.61,-0.05,0.019
2007-06-25,-0.39,-0.4,-0.05,0.019
2007-06-26,-0.35,0.16,-0.43,0.019
2007-06-27,0.92,0.43,-0.26,0.019
2007-06-28,0.03,0.14,0.17,0.019
2007-06-29,-0.19,-0.38,0.2,0.019
2007-07-02,1.06,-0.08,0.13,0.019
2007-07-03,0.36,-0.05,-0.12,0.019
2007-07-05,0.07,0.16,-0.55,0.019
2007-07-06,0.4,-0.07,-0.14,0.019
2007-07-09,0.1,0.03,0.02,0.019
2007-07-10,-1.43,-0.16,-0.32,0.019
2007-07-11,0.55,-0.29,-0.11,0.019
2007-07-12,1.78,-0.18,-0.33,0.019
2007-07-13,0.28,-0.32,0.14,0.019
2007-07-16,-0.31,-0.46,-0.32,0.019
2007-07-17,0.02,0.16,-0.15,0.019
2007-07-18,-0.25,-0.26,0.1,0.019
2007-07-19,0.44,0.31,-0.44,0.019
2007-07-20,-1.25,-0.3,-0.16,0.019
2007-07-23,0.36,-0.43,-0.34,0.019
2007-07-24,-2.04,-0.5,-0.32,0.019
2007-07-25,0.3,-0.38,0.03,0.019
2007-07-26,-2.36,0,-0.33,0.019
2007-07-27,-1.51,-0.06,0.12,0.019
2007-07-30,0.93,-0.23,-0.11,0.019
2007-07-31,-1.19,0.29,0.05,0.019
2007-08-01,0.51,-0.51,-0.09,0.018
2007-08-02,0.55,0.11,-0.46,0.018
2007-08-03,-2.66,-0.68,-0.61,0.018
2007-08-06,2.07,-1.15,-0.49,0.018
2007-08-07,0.65,0.26,-0.47,0.018
2007-08-08,1.47,1.18,-0.74,0.018
2007-08-09,-2.74,1.59,-0.4,0.018
2007-08-10,0.03,0.1,1.22,0.018
2007-08-13,-0.06,-1.16,0.43,0.018
2007-08-14,-1.83,-0.06,-0.21,0.018
2007-08-15,-1.46,0.05,-0.13,0.018
2007-08-16,0.31,1.29,0.76,0.018
2007-08-17,2.36,-0.4,0.22,0.018
2007-08-20,0,0.13,-0.22,0.018
2007-08-21,0.15,-0.05,-0.05,0.018
2007-08-22,1.2,0.04,0,0.018
2007-08-23,-0.23,-0.98,0.29,0.018
2007-08-24,1.21,0.12,-0.25,0.018
2007-08-27,-0.85,-0.08,-0.22,0.018
2007-08-28,-2.33,-0.11,-0.31,0.018
2007-08-29,2.13,0.13,0.02,0.018
2007-08-30,-0.43,-0.01,-0.48,0.018
2007-08-31,1.12,0.05,-0.11,0.018
2007-09-04,1.03,-0.24,0.08,0.017
2007-09-05,-1.05,0,-0.28,0.017
2007-09-06,0.42,-0.05,-0.16,0.017
2007-09-07,-1.7,-0.29,0.19,0.017
2007-09-10,-0.27,-0.52,-0.18,0.017
2007-09-11,1.35,0.04,-0.4,0.017
2007-09-12,-0.03,-0.44,-0.18,0.017
2007-09-13,0.69,-0.66,0.17,0.017
2007-09-14,0.1,0.33,-0.08,0.017
2007-09-17,-0.6,-0.45,0,0.017
2007-09-18,2.88,0.62,0.17,0.017
2007-09-19,0.59,0.6,0.2,0.017
